bn:00041942n	组
bn:00015008n	照相機 照相机 相机 靜態影像相機 翕相機 影相機 相機 📷 摄影摄像
bn:00023326n	法院 法庭 法院大楼 法院大樓 法院建築 縣法院
bn:00057481n	纽黑文 纽哈芬市 紐黑文 新哈芬 紐哈芬 新港 new_haven 紐海芬 纽黑文市
bn:00047238n	面談 访问 走访 采访 落區 訪問 面試 面谈 面试
bn:00048461n	记者 新聞工作者 記者 新闻工作者 新聞從業員 媒体报道 电视记者
bn:00061746n	观点 见解 位置
bn:00017651n	更换 变化
bn:00001267n	适应 適應 顺应
bn:00066933n	规则 准则 惯例
bn:00006759n	运动 体育 運動 竞技 体育运动 體育 競技 體育運動 体育的概念 競技運動 體壇 体育赛事
bn:00036292n	詐騙 诈骗 做假帳 出千 千术 商業騙案 拐骗 欺詐 欺骗 街頭騙案 被騙 詐欺 詐欺師 詐欺犯 詐欺罪 詐騙案 讹诈 诈欺 诈欺犯 诈骗罪 騙子 騙案 骗子 敲诈 欺騙 老千 金融詐騙 骗 a走 出老千 行騙 詐騙業 詐騙活動 詐騙行業 詐騙錢財 誘騙 诈骗手法 欺诈
bn:00048655n	法律 法律系统 法律理论 律 律法 法 法例 王法 法律战 立法
bn:00033750n	诡计 骗局 快一
bn:00045199n	妙語 打趣 抖机灵 抖激灵 妙语 对答 幽默 急智 机智
bn:00081224n	意志
bn:00030015n	驅逐出場 开除 開除 驱逐 退學 驅逐 开除学籍 退学 開除學籍 取消资格
bn:00046794n	墨水 油墨
bn:00009654n	行为 为人 举动 举止 品行
bn:14866890n	
bn:00015917n	薄纸板
bn:00021722n	運動會 體育聯盟 联赛 体育联赛 競技會 運動聯盟 会议 体育联盟
bn:00061898n	阶段 时期
bn:00021015n	委员会 委員會 考察团 调查团 常设委员会 执行委员会 指导委员会 议会委员
bn:00022845n	
bn:00077924n	教练员 驯兽师 教練 教練員 教练
bn:00046294n	
bn:00019219n	情况 场合 环境 背景 情況 上下文 来龙去脉 場合 状态 狀態 環境
bn:00061054n	模式 惯例 习惯 習慣 做法
bn:00081622n	世界
bn:00035704n	足球 橄榄球 球类运动 足球類運動 足球类运动 足球比赛
bn:00031735n	道德觀 思潮 气质 氣質 精神 ethos 伊逤斯 社会思潮
bn:00021395n	部分 局部 要素 部位 部分-整体关系 一部分 矢量分 矢量和 组件 组成部分
bn:00005601n	辩论 讨论 辯論 争论 討論 口頭辯論 思辯 辩 辩论赛 雄辯 政治辩论 演讲和辩论 论证 论证理 辩论队
bn:00059480n	组织 团体 机构 集团 組織 團體 機構 集團 社会组织 社會組織 建立
bn:00004527n	讚美詩 赞美诗 圣歌 聖歌 頌 颂 基督教讚美詩 聖詩
bn:00041354n	magnanimousness 高贵
bn:00044654n	名誉 荣誉 榮譽 名譽 信用 光栄 光荣 榮譽感
bn:00001077n	行为 作为 动作 人的行动 人类活动
bn:00028614n	
bn:00044269n	
bn:00076339n	
bn:00078798n	类型
bn:00064077n	令狀 戒律
bn:00059436n	规则 条令 条例 條令 條例 法令 規例 規則 规例 政府监管 监管
bn:00047690n	
bn:00025080n	损坏 损害 毁坏 傷害 損害賠償
bn:00033960n	感觉 心情 情绪 气氛 风气 精神 音
bn:00001561n	优势 利益 好处 报酬
bn:00047017n	正直 誠信 诚实 廉正 诚信
bn:00006383n	
bn:00050275n	坏人 法律的罪犯
bn:00076925n	东西 東西 事物 物 物件
bn:00022078n	推定欺诈 法律欺诈
bn:00046721n	轻罪 违反 輕罪 微罪 专利侵权 专利诉讼 侵害 违规行为
bn:00061325n	惩罚 处罚 刑罚 刑罰 懲罰 惩 罚 惩治 懲處 penalisation 刑事处罚 惩罚性
bn:00021348n	
bn:00009905n	利益 得益 益处 好处 福利 益處
bn:00069579n	战略 策略 戰略 計劃 计划 軍事策略 戰略位置
bn:00020039n	行會 同業公會 公会 俱乐部 团体 社交俱樂部 公會 同业公会 行会 職業團體 guild 基爾特 行業工會 公会系统 商人公会 手工业行会 社交俱乐部 私人俱乐部 镀金
bn:00017615n	锦标赛 錦標賽
bn:00046391n	不确定性 indeterminateness 期不确定性
bn:00003125n	变化 修改 改变
bn:00000674n	增加物 添加物
bn:00024727n	
bn:00075455n	停權 暫停 停職 临时搬迁
bn:00000772n	积聚 累积 权责发生制 计提
bn:00051035n	代替
bn:00024724n	循环地
bn:00006559n	假定 假设
bn:00005092n	实际应用 应用
bn:00012212n	疆界 边界 国境 边境 边界线 邊界 界线 國境 邊境 國界 徼 界限 边缘 過境 不设防疆界 国境线 国界 划界 判决 国家边境 国际边界 跨境 选区划界
bn:00048587n	际
bn:00005599n	争论 争议 爭論 论争 爭議 論爭 disceptation 有争议的
bn:00032661n	因素
bn:00078024n	传送 发射
bn:00027363n	指示
bn:00013701n	微生物
bn:00063739n	可能性 可能 possibleness
bn:00027530n	发现 發現
bn:00007854n	细菌 細菌 bacteria 病菌 真細菌 真細菌域 真細菌界 細菌域 细菌域 细菌界 菌
bn:00005917n	砷 砒 as 33號元素 arsenic 元素33 砷元素 第33號元素 原子序数33
bn:00035649n	營養素 食品 食物 養分 滋养物 营养物 营养 菜 养分 营养素 macronutrients 營養成份 營養物質 营养价值 营养成分 营养物质 营养素的
bn:00035911n	变种 分型 变型 應變 型 毒株 變型 株 菌株 形式
bn:00047356n	研究员 研究者 科学研究工作者 研究員 科研工作者
bn:00051054n	生命 性命 存活 生命現象 生存
bn:00018105n	化学元素 化學元素 元素 chemical_element
bn:00009677n	有机体 生物 有機體 存有 生物体 存在 存在狀態 存在體 生命个体 生物个体 生物基础・生物 生物有机体 動植物 生命体 生命體 生物體 植物群和动
bn:00015410n	能力 容量 性能 本领
bn:00006845n	磷 燐 p 15號元素 phosphorus 元素15 磷元素 第15號元素 原子序数15
bn:00029770n	版本形式
bn:00048453n	期刊 報刊 报刊 journal
bn:00006890n	碳 碳原子 c 6號元素 carbon 元素6 有机碳化合物 炭素 第6號元素 原子数6 碳质
bn:00006823n	氢 氫 氢气 h 1號元素 hydrogen 氢元素 水素 活泼氢 第1號元素 轻气 二氢 原子序数1 氢分子
bn:00006901n	氮 氮气 氮氣 n 7號元素 nitrogen 元素7 双氮 氮2 氮元素 氮原子 淡气 窒素 第7號元素 高纯氮 二氮 原子序数7 含氮
bn:00006912n	氧 o 8號元素 oxygen 元素8 氧元素 氧原子 氱 第8號元素 纯氧 酸素 高纯氧 分子氧 原子数8
bn:00006846n	硫 硫磺 硫黄 s 16號元素 sulfur sulphur 元素16 硫黃 第16號元素 自然硫 🜏 原子序数16 硫酸
bn:00014403n	加利福尼亚州 加州 加利福尼亞 加裏福尼亞 加裏福尼亞州 california 加利佛尼亞州 加利弗尼亞州 加利福利亞州 加利福尼亚 加利福尼亞州 加利福尼亞洲 加利褔尼亞州 加里福尼亚 加里福尼亚州 加里福尼亞 加里福尼亞州 美国加利福尼亚州 金州勇士队
bn:00012940n	发现 发觉 突破性进展 重大成就
bn:00045243n	搜索
bn:00007985n	学科 领域 主题 题目 科目 學科 主题字段 学术领域 学科领域 研究领域 跨学科
bn:00004352n	公告 声明 宣言 布告 宣布 文告
bn:00021869n	猜想 推测 推測 臆测 臆測 構想
bn:00024712n	互联网 因特网 互聯網 网络空间 赛博空间 因特網 網際網路 网际网路 信息空间 虚拟空间 计算机网络 電腦網路 網絡 網路 网络 网路 塞爆空間 数字空间 英特网 賽博空間 internet 英特網 cyberspace 互连网 互連網 交互网 全球互连网 国际互联网 国际互联网络 国际电脑网络 国际计算机互联网 國際網路 網路空間 网际网络 计算机互联网
bn:00027529n	發現 发现 科学发现
bn:00031074n	环境
bn:00010518n	生物化学 生物化學 生化 生理化学 biochemistry 生化反應 生化學 生化檢驗 生物化學家
bn:00070696n	一套 组
bn:00059768n	外层空间 外太空 太空 地球空间 外層空間 外空 宇宙空間 星际空间 行星际空间 地球和月亮之间的空
bn:00069670n	科学 科學 知識 女性科学家 科學領域中的女性 賽先生 一般科学 实证科学 科学学科
bn:00059087n	開放大學 open_university 英国公开大学 公开大学
bn:00013173n	英国 大不列颠及北爱尔兰联合王国 联合王国 大不列顛及北愛爾蘭聯合王國 聯合王國 英 英國 大英联合王国 大英聯合王國 英联合王国 英聯合王國 uk 不列颠 2009年英国 2010年英国 united_kingdom united_kingdom_of_great_britain_and_northern_ireland 大不列顛暨北愛爾蘭聯合王國 大不列顛與北愛爾蘭聯合王國 大不列颠和北爱尔兰联合王国 聯合皇國 腐国 英吉利國 英联王国 英聯王國 英国大不列颠及北爱尔兰
bn:00067280n	研究 基础研究 学术研究 应用研究 研究伦理学 研究人员
bn:00062309n	一件工作 工作
bn:00061666n	代入 替代
bn:00074759n	结构
bn:00056879n	美国国家航空航天局 美国航空航天局 nasa 国家航空航天局 國家航空暨太空總署 美国国家宇航局 美国宇航局 美国航天局 美国航空及太空总署 美國國家航天暨太空總署 美國國家航空暨太空總署 美國太空總署 美國航太總署 美國航空暨太空總署 美國航空航天局 航太總署 national_aeronautics_and_space_administration 国家航空航天管理局 國家航太總署 美国国家航空暨太空总署 美国太空总署 美國國家太空總署 美國國家航天局 美國國家航太總署 美國國家航空航天局 国家航空和天局 美国国家航空和航天局
bn:00006642n	天體生物學 外空生物学 太空生物學 太空生物学 天体生物学家 外太空生物學 天文生物學 宇宙生物學 天体生物学 宇宙生物学 空间生物学
bn:00046952n	體制 學院 体制 体制内 體制內 学院 机构 研究所
bn:00074790n	調查 研究
bn:00018096n	化学物质 化学 化學物質 化学制剂 化学制品 化学品 化学药品 純物質 纯净物 純淨物 纯物质 化学物种 化學物品 化学的
bn:00009655n	行为 表现 运行状况 不当行为
bn:00042951n	不利情况 低潮 粗糙的雪橇
bn:00052571n	机械 机器 机械装置
bn:00021538n	浓度 濃度 分析浓度
bn:00051067n	生命形式
bn:00062777n	
bn:00055813n	衛星 卫星 月亮 月球 天然衛星 天然卫星
bn:00006525n	助理教授 美国教授体系 荣誉退休教授 兼职教师 兼职教授 研究教授
bn:00054734n	微生物学 微生物學 微生物
bn:00001965n	手段 方式 办法 方法 机构
bn:00026317n	美國能源部 美国能源部 u.s._department_of_energy united_states_department_of_energy 能源部
bn:00056932n	國立衛生研究院 國家衛生院 national_institutes_of_health 国立卫生研究院 國家衛生研究院 國立健康研究院 美國國家衛生研究院 美國國家衛生院 nih 美国国家卫生总局 美国国家卫生研究院 美國國立衛生研究院 美国国立卫生研究院 美国立卫生研究院
bn:00055504n	犯罪手法 常规手法 惯例 modus_operandi 手法
bn:00075331n	支持 帮助 拥护 赞成
bn:00021207n	民主 民主主義 共和国 民主政治 民主主义 联邦 得莫克拉西 民主制 民主制度 democracy 反民主 平民政体 得谟 德谟克拉西 德谟克里西 民主原則 民主國家 民主體制 民主政府
bn:00050165n	拉丁美洲 拉美 中南美 中南美洲 拉丁美洲國家 拉美國家
bn:00007797n	
bn:00036346n	市场经济 市場經濟 自由企业 自由企業 市場力量 市場經濟體系 自由市場經濟 自由市场经济 巿場經濟 自由巿場經濟 市场经济地位 市場機制 自由經濟 以市场为基础的 市场为基础的经济 民营企业 私人拥有的 私人拥有的公司 私人控股公司 自由放任经济 货币经济
bn:00021558n	
bn:00079045n	失业 失業 失业状态 失业率 失業問題 失業如何解決 失業率 季節性失業 待业 創業方案 失业理论 無職 自然失业率 以工代赈计划 创造就业机会 创造就业机会的计划
bn:00012786n	巴西 巴西联邦共和国 brasil brazil 巴西共和国
bn:00066884n	区域 地区 區域 地區 行政区域
bn:00034551n	
bn:00015387n	民意调查 舆论调查 民意测验 民意調查 民調 輿論調查 民意測驗 民调 作民意调查 投票 支持率
bn:00007047n	态度 態度 心理态度
bn:00076918n	局面 形势 情况
bn:00058593n	10月 十月 10月份 ㋉ 一0月 一〇月 一零月
bn:00019781n	气候
bn:00070104n	第二 第２
bn:00022028n	穩定性理論 穩定 稳定性理论 澄清 稳定 过滤
bn:00072966n	南美洲 南美 south_america 南亚美利加洲 南美洲地區
bn:00075812n	表格 表 列表 表阵
bn:00032099n	例子 例 事例 例证 榜样 榜樣
bn:00061757n	秘鲁 秘魯 秘鲁共和国 祕魯 祕魯共和國 peru perú 土豆之乡 秘鲁国 馬鈴薯之鄉
bn:00029670n	经济增长 經濟增長 經濟成長 經濟成長率
bn:00052148n	
bn:00027260n	
bn:00059790n	产量 生产 生产量 输出量 產量
bn:00004456n	被上訴人 响应者 回答者
bn:00060767n	地区 地理地区 地區 地域 地理区域
bn:00026149n	民主主义者 民主主義者 民粹主义
bn:00007449n	平均 基准 平均数 算术平均值
bn:00017904n	图表 統計圖表 圖表
bn:00021846n	代表大会 国会
bn:00075069n	不幸
bn:00066516n	经济衰退 衰退 不景气 经济萧条 萧条 蕭條 退去 景氣衰退 經濟衰退 经济下滑 经济低迷 经济收缩 经济萎缩
bn:00001294n	增加量 增加 增大 增幅 增長 增长 收益
bn:00068809n	社会保障网 社會保障網
bn:00078931n	联合国 聯合國 地球聯合國 naciones_unidas organisation_des_nations_unies un united_nations организация_объединённых_наций الأمم_المتحدة 國際聯合 連合國 u.n 联合国的 联合国组织
bn:00029665n	拉丁美洲和加勒比经济委员会 联合国拉丁美洲及加勒比地区经济委员会 拉丁美洲经济委员会
bn:00064767n	
bn:00046157n	贫困 贫穷 貧窮 贫乏 贫瘠 貧困 穷 窮人 窮困 貧民 贫 贫困人口 低收入 城市贫困 相对贫困 贫困率 贫民
bn:00036838n	执行 运行 运转 功能
bn:00063592n	人氣 人气 声望 知名度 人和 人望 名望 聲望 名氣 普及
bn:00064234n	总统 總統 主席 大統領 总统先生 president
bn:00070497n	
bn:00001557n	进步 前进 提升 进展 進步
bn:00081136n	整体
bn:00048242n	问题 困难 問題 困難 难题 難題 麻烦 麻煩
bn:00066996n	亲戚 亲属 家属 親戚
bn:00026695n	发展 发展经济学家
bn:00075761n	的规则系统 系统
bn:00067239n	委内瑞拉 委內瑞拉 venezuela 委內瑞拉玻利瓦爾共和國 委内瑞拉共和国
bn:00050375n	領導能力 领导能力
bn:00027765n	卓越 杰出 的区别
bn:00029708n	厄瓜多尔 厄瓜多爾 ec ecu ecuador 厄瓜多 厄瓜多爾共和國 厄瓜多尔共和国 república_del_ecuador 厄瓜多共和國 赤道国 赤道國
bn:00028188n	多明尼加 多米尼加共和国 多米尼加 多米尼加共和國 多米尼克 多米尼加联邦 多米尼加聯邦 多明尼加共和国 多明尼加共和國 dominican_republic 基斯克亚 多明尼加共和国文化 多明尼加國
bn:00057614n	尼加拉瓜 尼加拉瓜共和国 nicaragua
bn:00043361n	醫療保健 医疗卫生 医疗保健 衛生保健 醫療 医疗 卫生保健 health_care_industry 醫療體系 医疗条件 行医治病 行醫看病 衛生事務 醫療衛生 醫療護理 医疗服务
bn:00050249n	法律
bn:00025417n	一天
bn:00027206n	晚餐 正餐 晚饭 主餐 晚飯 飧
bn:00050257n	律师事务所 律師事務所 法律事務所 律所 法律事务所 律师楼 律师行
bn:00044064n	最高法院 州最高法院 高等法院 終審機關 高院 美國州最高法院 高等法院大樓 最高法 高法院
bn:00001736n	社交场合 典礼 庆典 聚会 集会 社会功能
bn:00021723n	小组讨论
bn:00061826n	请愿 要求 请愿书 请求 請願 訴願 請願權
bn:00046920n	檢測 检查 检测 檢查 突击检查 突擊檢查
bn:00059879n	整建 翻新 再開發 刷新 整修 再开发 重建
bn:00021844n	美国国会 美國國會 国会 國會 united_states_congress 國會議員 美国议院 美國國會參議院 美國議會 美国会
bn:00009086n	
bn:00000127n	小时 小時 鐘頭 钟头 鐘點 60分钟 点 钟点 點 點齊 人力资源
bn:00053318n	3月 三月 03月 ㋂
bn:00065798n	
bn:00075589n	
bn:00027207n	晚宴
bn:00048506n	法律原則 法教义学 司法原则 法理
bn:00061047n	贊助 出资人 保證人 保证人 募款 樂捐 贊助人 贊助商 金主 守護人 赞助者 赞助 企业赞助 政治庇护 赞助商
bn:00034520n	结果 結果 最终结果
bn:00048507n	诉讼 讼争 诉讼案件 起诉 司法程序 法律纠纷
bn:00003365n	华盛顿特区 華盛頓特區 華府 華盛頓哥倫比亞特區 华盛顿哥伦比亚特区 华府 哥倫比亞特區 華盛頓市 华盛顿 浣洗屯 花生屯 華盛頓 district_of_columbia washington,_d.c. washington,_dc washington_d.c. washington_dc 华盛顿市 哥伦比亚特别行政区 哥伦比亚特区 哥伦比亚特区华盛顿市 美京 華盛頓dc 美国的资本 美国资本 首都华盛顿哥伦比亚特区
bn:00044967n	酒店 宾馆 旅馆 旅館 饭店 賓館 飯店 住宿 旅店 旅社 hotel 商務酒店 客房 連鎖酒店 🅗 商务酒店 经济型酒店 连锁酒店 酒店业
bn:00007013n	出席 参加
bn:00001582n	对手 敌手 對手 敵手 异议
bn:00042090n	客人 被邀请者 受邀者
bn:00032021n	事件 活动 活動
bn:00007146n	无 零 虚无 無 什么也没有 空值 零蛋 鴨蛋 鸭蛋 0 沒有 没有 虛無 空 zippo 任何事物 尼克斯 虚无缥缈 鹅蛋 齐尔希
bn:00031707n	倫理準則 道德守则 伦理 道德准则
bn:00020356n	行為準則 行为守则 行為守則 条例 條例 行为准则 行动规范 行動規範 行为规范
bn:00020352n	准则 法典 準則 章程 規章 规章 代码 代码的法律 法码 编纂
bn:00015320n	佳能
bn:00073170n	发言者 讲演者 说话的人 報告人 报告人 演說者 演講人 演讲人 演说者 發言者 講員 讲员 verbaliser 健谈的 描述器
bn:00042093n	座上客
bn:00064648n	
bn:00064763n	接近性 紧临
bn:00012862n	
bn:00046486n	冷淡
bn:00064233n	总裁 主席 總裁 会长 會長 总统
bn:00036850n	籌款 筹款 募捐活动 募捐活動 籌錢
bn:00005027n	
bn:00046077n	公正 公正的 无党派
bn:00007026n	注意 注重 关注
bn:00023858n	
bn:00014139n	
bn:00021976n	
bn:00072716n	法律政策專員 司法部副部长 总检察长
bn:00001423n	组织 政府 机关 機關 国家教会 管理机构
bn:00078206n	原訟法庭 原讼法庭 初審法院 原訟庭 审判法院 審判法庭 審判法院 一审 原审法院
bn:00046473n	指示 标志
bn:00000990n	了解 熟悉 精通 认识 熟练
bn:00031605n	西班牙 西班牙王國 西班牙王国 espana españa spain 以西巴尼亚 士班雅 大呂宋 日斯巴尼亞 西屬
bn:00071432n	
bn:00023012n	哥斯达黎加 哥斯達黎加 哥斯大黎加 哥斯达黎加共和国 costa_rica 丰饶海岸 哥斯大尼加 哥斯大黎加國 哥斯德黎加 哥斯達尼加 哥斯達黎加共和國 格斯達里加
bn:00022263n	分界线 界限
bn:00077463n	
bn:00015531n	聖荷西 圣何塞 圣荷西 聖何塞縣 聖何塞 san_josé 聖荷西區 聖荷西縣 哥斯达黎加首都
bn:00031896n	欧洲 欧罗巴 欧罗巴洲 歐洲 歐羅巴洲 欧 歐 歐羅巴 日落之地 西日洲 europa europe 欧罗巴半岛 歐洲地區
bn:00034737n	头等 第一 第一个
bn:00066576n	记录
bn:00018661n	選擇 选择
bn:00060340n	巴拿马 巴拿馬 panama 巴拿马共和国
bn:00035713n	足球运动员 足球員 足球员 足球选手 足球選手 職業足球員
bn:00030861n	英格兰 英格蘭 英國 英国 england 英倫 英吉利 英格蘭地區 英蘭
bn:00024417n	奖杯 优胜杯 獎盃
bn:00021338n	竞争 比赛 竞赛 赛 競技 競爭 競爭者 竞争对手
bn:00011444n	
bn:00032308n	
bn:00081625n	國際足協世界盃 世界盃足球賽 不同意 世界杯 fifa_world_cup fifa世界杯 世界杯足球赛 世界盃 世足 世足賽 fwc 世界杯足球比赛 世界杯足球賽 世界杯足球赛决赛周 世界盃足球 世界足球锦标赛 世盃 国际足联世界杯 国际足联世界杯足球赛 足球世界杯
bn:00032306n	经验 經驗 经历 經歷 體驗
bn:00005516n	领域 场 场地 田地 范围 方面
bn:00041239n	分等 等级 水平
bn:00018660n	选择 選擇
bn:00040851n	守门员 守門員 门将 門將 冰上曲棍球位置 足球守門員 足球守门员 龍門 netminder
bn:00013179n	伦敦 倫敦 london 大伦敦 英国的资本 英国首都
bn:00066577n	最高纪录 最好成績 最好成绩 最高記錄 最高记录 紀錄 纪录
bn:00053772n	比赛 赛
bn:00074678n	
bn:00064204n	出席 存在
bn:00040847n	得分 进球 目标
bn:00046021n	移民 迁入 外來移民 外来的移民 移居入境 遷入 在迁移
bn:00017621n	机会
bn:00021816n	堵塞 阻塞 人满为患 人滿為患 过度拥挤
bn:00022026n	警察 警方 警隊 公安 警 警察機構 警队 警察機關 警務機關 警政機關 警察部門 安全部队 武警 警察部门 警察部队
bn:00070651n	服务 劳务 勞務 服務
bn:00021322n	
bn:00021644n	形势 情况 情势 状况 状态
bn:00045163n	人权 人權 个人权利 人权状况 人权问题 人类基本权利 人类权利 人身权利 基本人權
bn:00042917n	骚扰 騷擾 妨害 干扰 折磨 烦恼 网络骚扰
bn:00029806n	学生 學生 弟子 生徒 女學生 學生妹 学员 學生階級 學童 門生 受教育者
bn:00036202n	法国 法國 法兰西 法蘭西 法 法兰斯 法蘭斯 法兰西共和国 法蘭西共和國 france francia république_française 佛朗西 佛蘭西 法国伊斯兰教 法国农产业
bn:00075959n	
bn:00013057n	砌磚工 瓦工 泥水匠 砌砖工 砖匠 磚匠
bn:00070648n	服务员 服務員 侍者 侍應 企堂 伙计 侍应 侍應生 夥計 小妹 店小二 服务生 服務生 看板娘 跑㑽 侍应生 跑堂
bn:00063237n	观点 立场 觀點 角度 看法 见解 立場 观点（哲学） 视角 角度来看
bn:00021958n	共识 一致的意见 一致看法 共同意见 集体意见 共識
bn:00050522n	左翼 左倾的 左派 左翼政治
bn:00067810n	右派 右翼分子 右翼 右翼政治
bn:00074900n	主题 论题 话题 课题 题目 主題 話題 主题评论
bn:00079043n	失业 失业人 失业的
bn:00081593n	劳动者 劳工 工人 工作者
bn:00055292n	不幸 悲惨的境遇 痛苦 难受的罪啊
bn:00027022n	差异 差別 差别 差異
bn:00037691n	慷慨 大方 宽厚 寬厚 心地宽厚
bn:00030707n	侵入 侵占 侵害 侵犯 侵略 入侵 闯入
bn:00072653n	领土
bn:00044758n	主机
bn:00062576n	水管工 管子工 配管工 水暖工 鉛管工 铅管工 管工 管道工 管鉗工 水喉匠 水喉工 水喉技工 水管工人 管道安装工
bn:00046019n	移民 移民者 侨民
bn:00072566n	社会 社会团体 社會 人类社会 文明社会 文明社會
bn:00008267n	陈词滥调 陳腔濫調 老套 陳詞濫調 老生常談 老生常谈 平凡 平庸 老生常谈的问题 股票短语
bn:00009717n	印象 感觉
bn:00006504n	优点 有利的情况或因素 财富 资产
bn:00029667n	经济学家 經濟學家 經濟師 經濟顧問 经济学者 总经济师 經濟學者 總經濟師 经济师 经济顾问 经济专家
bn:00012059n	书 书籍 圖書 書 書籍 图书 書本 书本 印刷书籍 📕 📖 📗 📘 📙 📚
bn:00020452n	知识 认知 認知 知識 学问 认识 認識 學問 心智功能 心靈功能 思維過程 思维过程 人類知識 認知功能 認知過程 意向作用 认知能力 认知过程
bn:00054907n	迁移 人口遷徙 徒动 移民 徙动 徙動 遷移 人口遷移 人類遷徙 人類遷移
bn:00028141n	世界
bn:00036941n	未来 将来 將來 未來 今后 以后 前途 不久的将来 来
bn:00073206n	专家 专门家 專家 專門家 specialiser 专用函数
bn:00035374n	流 流动 飘扬
bn:00029416n	工资 薪水 薪金 工資 報酬 作报偿的东西 报酬 工錢 工钱 薪資 酬金 薪酬 酬勞 付 劳动力成本 工资率
bn:00030616n	工作 职业 僱傭 職業 受雇 被雇用 就业 僱主 僱傭者 僱傭關係 僱用 勞方 受薪階層 就業 職工 被雇佣 被雇佣者 被雇用者 雇佣 雇佣者 雇用 雇主 雇傭關係 僱員 就業機會 职员 雇佣关系 人员 使用 合同工 工作生活
bn:00041979n	增加 增大 增值 增多 增量
bn:00033854n	恐怖 恐惧 害怕 怕 恐 恐懼 惧 畏惧 惊骇
bn:00066419n	真实性
bn:00003129n	候补者 替换者 备用
bn:00049570n	工人阶级 无产阶级 勞動階級 工人階級 劳动阶级 一伙 一堆 劳工 无产者 勞動階層 工人階層 普羅大眾 無產階級 半无产者 半无产阶级 工薪階層 劳动力 工薪阶层的
bn:00023496n	工艺 职业 工藝 贸易
bn:00025916n	不足 赤字 經濟短缺 不足额 缺额 超額需求 短缺经济 短缺
bn:00041853n	訓練 准备工作 训练 在职训练 在職學習 培训
bn:00059122n	外科医生 外科醫生 外科醫師 外科大夫 外科医师 sawbones 手术的医生
bn:00003755n	麻醉师 麻醉師 麻醉科醫師 麻醉学者 麻醉科医师 麻醉科醫生
bn:00021359n	互相依赖 互相补充 互补作用
bn:00005886n	
bn:00027862n	变化 多样性 多样化 主体多元化 品种 差异性
bn:00023652n	创造 发明 创造性活动
bn:00003343n	美国人 美國人 美国国籍 americans people_of_the_united_states 合众国人民 合眾國人民 美利坚人 美利堅人 美国
bn:00057832n	诺贝尔奖 諾貝爾獎 nobel_prize 炸药奖 諾獎 诺贝尔获奖者 荣获诺贝尔奖
bn:00079944n	胜利者 优胜者 勝利者 優勝者 得勝者 得胜者 獲勝者 获胜者 贏家 赢家
bn:00041092n	google搜索 谷歌搜索 google搜尋 google_search google google.com google_搜尋 google_搜索 google图像搜索 google搜索引擎 google本地搜索 google网页搜索 谷歌
bn:00081801n	雅虎 yahoo!_雅虎 杰瑞戴夫互聯網導航 雅虎! 雅虎公司 雅虎！ yahoo yahoo! yahoo.com 中国雅虎 雅虎中国 雅虎美國
bn:00054906n	农民
bn:00022274n	
bn:00072539n	社会结构 社会组织 社會系統 社會結構 社会制度
bn:00013640n	预算案 財政預算案 預算 预算 预算报告 經費 经费 财政预算 預算案 财政预算案
bn:00031903n	欧洲国家
bn:00026684n	德国 德國 德意志联邦共和国 德意志聯邦共和國 德 联邦德国 聯邦德國 德意志聯邦 德意志 德意志联邦 deutschland germany 德國第三共和 frg
bn:00001936n	年龄 寿命 年岁 年纪 陈年潜力
bn:00022269n	贡献 份额 局部 要素 部分
bn:00066490n	收据 收據 发票 收条 🧾
bn:00032300n	支出 费用 花费 費用
bn:00051048n	一生 寿命 生命周期
bn:00053151n	任务
bn:00047730n	项
bn:00013194n	英镑 英鎊 英国货币 英磅 鎊 镑 £ british_pound gbp pound_sterling uk_pound united_kingdom_pound 💷
bn:00003340n	罚款 罚金 罰金 罰款 罰鍰 罚锾 罰錢 抢夺 精
bn:00064527n	问题 困难 难题 麻烦
bn:00037296n	动乱 吵闹 喧哗 喧闹 暴乱 混乱 骚动 garboil tumultuousness
bn:00017235n	首席执行官 执行总裁 首席執行官 執行總裁 最高執行官 最高执行官 營運長 营运长 企業執行長 執行長 行政總監 行政總裁 首席執行長 ceo chief_executive_officer 行政总裁 首席营运官 董事总经理
bn:00046575n	行业
bn:00060928n	过去
bn:00021769n	纠纷 争端 争议 争论 衝突 争执 爭端 爭論 爭議 糾紛 流血衝突 恩怨 紛爭 不同的意见
bn:00008419n	破产
bn:00023681n	儲蓄互助社 信用合作社 储蓄互助社 遮仔會 信用組合 信用社
bn:00066938n	
bn:00074684n	
bn:00064699n	承诺 允诺 誓言 责任 任務 責任
bn:00029680n	价值 估价 评价 價值 經濟價值 经济价值
bn:00060837n	当事人 一方 當事人
bn:00041611n	纽约 紐約 紐約州 纽约州 紐約市 纽约市 city_of_new_york new_york new_york,_ny new_york_city the_city_of_new_york 大蘋果 新約克 紐約克 纽约城 美國紐約 鳥約 大纽约
bn:00030605n	纽约州 纽约 紐約 紐約州 new_york 帝國州 ny 帝国
bn:00011099n	有罪 有过失 當受譴責 culpableness 过失责任
bn:00070725n	庭外和解
bn:00017517n	主席 议长 董事长 会长 議長 总裁 高官 董事長 委员长 會長 理事长 主持 副主席 副会长 召集人 执行董事长
bn:00067371n	
bn:00019763n	客户 顾客 顧客 主顾 委托人 客人
bn:00008382n	存款 银行存款 存钱
bn:00021329n	补偿 赔偿
bn:00052050n	损失 失去的东西 失物
bn:00000016n	兆 十亿
