bn:00041942n	nhóm
bn:00019742n	cleveland clivơlen cleaveland cleaveland,_ohio cleveland,_oh cleveland,_ohio clivơlen,_ôhaiô
bn:00059674n	nắn_xương osteopathist
bn:00032175n	giết_người sát_nhân mưu_sát giết giết_người_cấp_độ giết_người_cấp_độ_đầu_tiên giết_người_mức_độ_thứ_hai giết_người_mức_độ_đầu_tiên vụ_giết_người
bn:00053531n	vợ người_vợ thiếp vợ vợ_chồng_người_phụ_nữ
bn:00021584n	kết_luận quyết_định
bn:00023807n	tội_phạm tội_ác người_vi_phạm_luật các_hoạt_động_bất_hợp_pháp hoạt_động_bất_hợp_pháp hoạt_động_tội_phạm hành_vi_phạm_tội hành_vi_tội_phạm hình_sự_hành_vi_phạm_tội tội_phạm_hình_sự vi_phạm_pháp_luật
bn:00046926n	
bn:00076429n	chương_trình_truyền_hình xếp_lịch_truyền_hình chương_trình_tv chương_trình_giải_trí mùa mùa_truyền_hình show_truyền_hình sản_xuất_truyền_hình tv_show
bn:00034471n	phim điện_ảnh phim_ảnh chiếu_bóng màn_ảnh_đại_vĩ_tuyến nghệ_thuật_thứ_bảy nghệ_thuật_thứ_bẩy phim_màu xi-nê xi-nê-ma xi_nê xi_nê_ma xinê xinêma ánh_họa đại_vĩ_tuyến di_chuyển_hình_ảnh hình_ảnh_chuyển_động buổi_trình_diển_tranh_ảnh bộ_phim_sân_khấu chuyển_động_hình_ảnh_hiển_thị di_chuyển,_hình_ảnh_hiển_thị dời_tấm_hình_đi_chổ_khác hình_ảnh_chuyển_động_lớn màn_hình_lớn
bn:00042601n	nửa 1/2 một_nửa 1_nửa một_phần_hai
bn:00017234n	thế_kỉ thế_kỷ kỷ
bn:00033729n	chế_độ cách phong_cách
bn:00016851n	gây_ra nguyên_nhân
bn:00016013n	quan_tâm
bn:00064601n	giáo_sư phó_giáo_sư gs pgs extraordinarius_giáo_sư ghế ghế_cá_nhân giáo_sư_bình_thường giáo_sư_danh_dự giáo_sư_extraordinarius giáo_sư_phi_thường giáo_sư_đại_học prof sư_đầy_đủ trợ_lý_giáo_sư
bn:00021904n	connecticut tiểu_bang_connecticut hiến_pháp_nhà_nước hạt_nhục_đậu_khấu_nhà_nước
bn:00015656n	tử_hình án_tử_hình hành_quyết xử_chết xử_tử án_tử thực_hiện hành_vi_phạm_tội_vốn thực_hiện_tư_pháp
bn:00067181n	báo_cáo bản_báo_cáo
bn:00045800n	ý_tưởng nghĩ
bn:00021221n	giao_tiếp truyền_thông liên_lạc thông_tin_liên_lạc truyền_tin kỹ_năng_giao_tiếp thông_tin_nhầm_lẫn truyền_thông_sai_lệch truyền_thông_xã_hội
bn:00048657n	hội_thẩm jurywoman viên_hội_thẩm
bn:00066343n	phản_ứng
bn:00032381n	bức_ảnh ảnh hình tấm_hình hình_ảnh
bn:00079940n	nạn_nhân
bn:00025364n	con_gái
bn:00064806n	công_tố_viên truy_tố_luật_sư bị_truy_tố truy_tố truy_tố_viên_chức
bn:00034552n	bản_án phán_quyết tìm_kiếm_của_thực_tế
bn:00021961n	kết_quả hậu_quả quả kết_quả
bn:00047077n	
bn:00017559n	
bn:00030113n	bầu_cử tuyển_cử sự_bầu_cử tranh_cử chính_trị_bầu_cử phiếu_phổ_thông quá_trình_bầu_cử tái_tranh_cử được_bầu_dân_chủ đắc_cử
bn:00015050n	chiến_dịch_chính_trị chiến_dịch_bầu_cử chiến_dịch_tranh_cử vận_động_chính_trị
bn:00015056n	vận_động ứng_cử_viên
bn:00070459n	thượng_viện_hoa_kỳ thượng_nghị_sĩ_hoa_kỳ thượng_nghị_viện_hoa_kỳ thượng_nghị_viện_hoa_kì thượng_viện_mỹ thượng_viện_quốc_hội_hoa_kỳ thượng_nghị_sỹ_hoa_kì thượng_nghị_sỹ_hoa_kỳ hoa_kỳ hoa_kỳ_thượng_nghị_sĩ thượng_nghị_sĩ_mỹ
bn:00030581n	cảm_xúc cảm_xúc_con_người cảm_xúc_tiêu_cực xúc_cảm xúc_động
bn:00021278n	
bn:00015008n	máy_ảnh máy_ảnh_tĩnh máy_chụp_hình máy_chụp_hình_tĩnh camera flash_máy_ảnh chụp_ảnh_camera
bn:00023326n	toà_án
bn:00057481n	new_haven,_connecticut new_haven new_haven,_ct
bn:00047238n	phỏng_vấn
bn:00048461n	nhà_báo phóng_viên kí_giả ký_giả phóng_viên_tin_tức phóng_viên_truyền_hình phóng_viên_tờ_báo
bn:00061746n	vị_trí điểm
bn:00017651n	thay_đổi
bn:00001267n	thích_nghi thích_ứng
bn:00066933n	quy_tắc
bn:00006759n	thể_thao sự_kiện_thể_thao môn_thể_thao sports_video_game tổ_chức_thể_thao thao điền_kinh
bn:00036292n	gian_lận kẻ_gian_lận lừa_gạt phát_hiện_gian_lận phòng_chống_gian_lận
bn:00048655n	pháp_luật luật_pháp pháp_lý pháp_lí cuộc_chiến_pháp_lý lập_pháp
bn:00033750n	một_nhanh
bn:00045199n	wit witticism dí_dỏm hài_hước đối_đáp
bn:00081224n	ý_chí
bn:00030015n	trục_xuất
bn:00046794n	mực mực_tàu mực_nho mực_tầu ink mực_không_thể_xóa_nhòa
bn:00009654n	hành_vi sự_làm_việc
bn:14866890n	
bn:00015917n	
bn:00021722n	hội_nghị_thể_thao liên_đoàn_thể_thao liên_đoàn giải_đấu giải_đấu_thể_thao hội_nghị
bn:00061898n	giai_đoạn đoạn
bn:00021015n	ủy_ban uỷ_ban ban_chỉ_đạo ispolkom ủy_ban_hội_nghị ủy_ban_quốc_hội ủy_ban_thường_trực ủy_ban_thường_vụ ủy_ban_điều_hành
bn:00022845n	
bn:00077924n	huấn_luyện_viên
bn:00046294n	
bn:00019219n	bối_cảnh hoàn_cảnh
bn:00061054n	mô_hình thực_hành
bn:00081622n	thế_giới
bn:00035704n	bóng_đá football game_bóng_đá
bn:00031735n	ethos tập_quán đặc_tính
bn:00021395n	phần thành_phần thành_phần_phần thành_phần_vector tổng_vector vector vector_euclid
bn:00005601n	tranh_luận tranh_biện bình_luận thảo_luận tranh_cãi bài_phát_biểu_và_tranh_luận cuộc_tranh_luận cuộc_tranh_luận_chính_trị lý_thuyết_lập_luận nhóm_tranh_luận thảo_luận_về xã_hội_tranh_luận
bn:00059480n	tổ_chức việc_tổ_chức thành_lập
bn:00004527n	thánh_ca bài_thánh_ca thánh_ca_cơ_đốc thánh_khúc thánh_nhạc ca_hát hymnist hymnodist hymnographer hymnwriter
bn:00041354n	magnanimousness nobleness
bn:00044654n	danh_dự
bn:00001077n	hoạt_động_của_con_người hành_động hành_động_cho_nhân praxeology
bn:00028614n	
bn:00044269n	lịch_sử
bn:00076339n	
bn:00078798n	loại
bn:00064077n	mệnh_lệnh lệnh giới
bn:00059436n	chế_độ điều_lệ quy_định quy_định_của_chính_phủ
bn:00047690n	vấn_đề
bn:00025080n	thiệt_hại
bn:00033960n	cảm_giác tinh_thần điệu
bn:00001561n	
bn:00047017n	lòng_chính_trực chính_trực tính_toàn_vẹn
bn:00006383n	
bn:00050275n	người_vi_phạm_luật pháp_luật_người_vi_phạm
bn:00076925n	điều thứ vật
bn:00022078n	gian_lận_xây_dựng pháp_lý_gian_lận xây_dựng_gian_lận
bn:00046721n	vi_phạm khing_tội khinh_tội niềm_tin_tóm_tắt sự_vi_phạm tội_nhẹ vi_phạm_bằng_sáng_chế
bn:00061325n	hình_phạt sự_phạt trừng_trị trừng_phạt hình_phạt_sự hệ_thống_hình_sự penalisation penalization phạt
bn:00021348n	
bn:00009905n	lợi_ích
bn:00069579n	chiến_lược chiến_lược_là_gì?
bn:00020039n	phường_hội câu_lạc_bộ_xã_hội guild câu_lạc_bộ câu_lạc_bộ_tư_nhân guild_thương_gia guild_thương_mại guild_thủ_công hệ_thống_guild mạ phường_hội_thủ_công thương_gia_guild xã_hội_câu_lạc_bộ
bn:00017615n	chức_vô_địch
bn:00046391n	bất_định indefiniteness indefinity indeterminateness
bn:00003125n	thay_đổi
bn:00000674n	
bn:00024727n	
bn:00075455n	tạm_thời_loại_bỏ
bn:00000772n	accruement dồn_tích
bn:00051035n	thay thay_vì
bn:00024724n	
bn:00006559n	giả_định
bn:00005092n	ứng_dụng ứng_dụng_thực_tiễn
bn:00012212n	biên_giới biên_giới_quốc_gia biên_giới_quốc_tế borders các_đường_biên_giới phân_định phân_định_ranh_giới qua_biên_giới việc_khu_vực_bầu_cử định_giới đo đường_biên_giới
bn:00048587n	dịp
bn:00005599n	tranh_cãi disceptation gây_tranh_cãi không_công_nhận đối_số
bn:00032661n	tố
bn:00078024n	chuyển truyền
bn:00027363n	chỉ_thị
bn:00013701n	vi_khuẩn vi_trùng
bn:00063739n	khả_năng possibleness
bn:00027530n	khám_phá
bn:00007854n	vi_khuẩn bacteria bacterium
bn:00005917n	asen arsenic as arsen thạch_tín nguyên_tử_số_33 như
bn:00035649n	chất_dinh_dưỡng dưỡng_chất vi_chất_dinh_dưỡng macronutrient thực_phẩm
bn:00035911n	cepa chủng hình_thức var var.
bn:00047356n	nhà_nghiên_cứu nghiên_cứu_công_nhân
bn:00051054n	sự_sống cuộc_sống cuộc_đời các_biểu_hiện_của_sự_sống sinh_mạng sinh_mệnh sống
bn:00018105n	nguyên_tố_hóa_học nguyên_tố nguyên_tố_hoá_học lịch_sử_phát_hiện_các_nguyên_tố_hóa_học nguyên_tố_phóng_xạ
bn:00009677n	sinh_vật hữu_thể cơ_thể_sống loài_vật sinh_vật_sống
bn:00015410n	
bn:00006845n	phốtpho photpho phosphor phốt_pho p lân_tinh phospho phosphorus phôt-pho phốt-pho số_nguyên_tử_15
bn:00029770n	
bn:00048453n	tập_san nhật_báo nhật_trình journal tạp_chí
bn:00006890n	cacbon carbon cácbon c cac-bon các-bon các_bon than nguyên_tử_carbon số_nguyên_tử_6
bn:00006823n	hydro hiđrô khinh_khí hi-đrô hy-đrô hyđrô khí_hydro h hidro hiđro hydrogen hydrô hyđro khí_hydrogen dihydrogen nguyên_tử_số_1 phân_tử_hydro tử_hydro
bn:00006901n	nitơ đạm_khí n ni-tơ ni_tơ nitro nitrogen nitrô khí_nitơ nguyên_tử_số_7 đinitơ đạm
bn:00006912n	oxy dưỡng_khí ôxy ô-xy ôxi o khí_oxy o2 oxi oxygen ô-xi ô_xi ô_xy ôxy_phân_tử số_nguyên_tử_8
bn:00006846n	lưu_huỳnh s sulfur lưu_huỳnh_bản_địa sulfuric số_nguyên_tử_16
bn:00014403n	california ca_li ca-li-pho-ni-a ca-li-phoóc-ni-a ca-li califonia thành_phố tiểu_bang_california us-ca calif. golden_state
bn:00012940n	
bn:00045243n	tìm_kiếm
bn:00007985n	chủ_đề liên_ngành lĩnh_vực lĩnh_vực_chủ_đề lĩnh_vực_nghiên_cứu ngành_học tiêu_đề_lĩnh_vực
bn:00004352n	công_bố hoàng_gia_công_bố lời_tuyên_bố
bn:00021869n	giả_thuyết phỏng_đoán ước_đoán
bn:00024712n	internet không_gian_mạng mạng hệ_thống mạng_lưới in-tơ-nét liên_mạng mạng_toàn_cầu mạng_internet cyber_space cyberspace hệ_thống_liên_mạng in-tờ-nẹt không_gian_ảo mạng_kết_nối_toàn_cầu sự_hình_thành_và_phát_triển_của_internet
bn:00027529n	khám_phá phát_minh phát_hiện khám_phá_khoa_học trông_thấy
bn:00031074n	môi_trường
bn:00010518n	hóa_sinh hoá_sinh_học hóa_sinh_học sinh_hoá_học hoá_sinh sinh_hóa sinh_hoá hóa_học_sinh_lý sinh_vật_hóa_học
bn:00070696n	tập_hợp
bn:00059768n	không_gian_ngoài_thiên_thể không_gian_liên_sao không_gian_bên_ngoài không_gian_cislunar môi_trường_giữa_các_thiên_hà
bn:00069670n	khoa_học khoa_học_thuần_túy ngành_khoa_học khoa_học_chính_thống khoa_học_kỷ_luật khoa_học_thực_nghiệm
bn:00059087n	bachelor_of_art_in_film_,_the_open_university,_uk open_university đại_học_mở trường_đại_học_mở
bn:00013173n	vương_quốc_liên_hiệp_anh_và_bắc_ireland vương_quốc_anh vương_quốc_liên_hiệp_anh_và_bắc_ai-len anh_quốc uk united_kingdom vương_quốc_liên_hiệp vương_quốc_liên_hiệp_anh vương_quốc_liên_hiệp_anh_và_bắc_ai_len great_britain liên_hiệp_vương_quốc liên_hiệp_vương_quốc_anh liên_hiệp_vương_quốc_anh_và_bắc_ai-len liên_hiệp_vương_quốc_anh_và_bắc_ireland vương_quốc_anh_và_bắc_ireland vương_quốc_anh_và_bắc_ái_nhĩ_lan vương_quốc_anh_và_ireland vương_quốc_liên_hiệp_anh_và_bắc_ailen vương_quốc_liên_hiệp_anh_và_bắc_ái_nhĩ_lan vương_quốc_liên_hiệp_đại_anh_và_bắc_ireland anh vương_quốc_anh. vương_quốc_anh_vương_quốc_anh_và_bắc_ai-len
bn:00067280n	nghiên_cứu khảo_cứu nghiên_cứu_gia nghiên_cứu_sinh nghiên_cứu_ban_đầu phương_pháp_nghiên_cứu
bn:00062309n	công_việc phần_của_công_việc
bn:00061666n	
bn:00074759n	cấu_trúc
bn:00056879n	nasa cơ_quan_hàng_không_và_vũ_trụ_hoa_kỳ cơ_quan_hàng_không_vũ_trụ_hoa_kỳ cục_quản_trị_hàng_không_và_không_gian_quốc_gia cục_quản_trị_hàng_không_và_không_gian_quốc_gia_hoa_kỳ cơ_quan_hàng_không_vũ_trụ_mỹ cơ_quan_hàng_không_và_không_gian_hoa_kỳ cơ_quan_hàng_không_và_không_gian_mỹ cơ_quan_hàng_không_và_vũ_trụ_mỹ cơ_quan_không_gian_hoa_kỳ national_aeronautics_and_space_administration quốc_gia_hàng_không_và_không_gian
bn:00006642n	sinh_học_vũ_trụ sinh_học_thiên_văn môn_sinh_học_thiên_văn môn_sinh_học_vũ_trụ sinh_học_ngoài_trái_đất sinh_học_ngoài_vũ_trụ sinh_học_người_ngoài_hành_tinh exobiology sinh_vật_học_vũ_trụ không_gian_sinh_học nhà_sinh_vật_học_vũ_trụ
bn:00046952n	viện học_viện
bn:00074790n	nghiên_cứu
bn:00018096n	hóa_chất chất_hóa_học hoá_chất chất
bn:00009655n	hành_vi cách_cư_xử hành_vi_sai_trái
bn:00042951n	thô_công_việc
bn:00052571n	máy_móc máy máy_móc_thiết_bị
bn:00021538n	nồng_độ nồng_độ_molan nồng_độ_mol tập_trung_phân_tích
bn:00051067n	cuộc_sống_hình_thức
bn:00062777n	
bn:00055813n	vệ_tinh_tự_nhiên mặt_trăng
bn:00006525n	giáo_sư_tập_sự gs gsts giáo_sư_nghiên_cứu giáo_sư_nổi_tiếng phó_giáo_sư trợ_lý_giáo_sư
bn:00054734n	vi_sinh_vật_học vi_sinh_học vi_sinh vi_sinh_vật_học_ứng_dụng vi_sinh_vật vi_trùng_học
bn:00001965n	cách cơ_quan phương_tiện
bn:00026317n	bộ_năng_lượng_hoa_kỳ bộ_năng_lượng_mỹ united_states_department_of_energy bộ_năng_lượng
bn:00056932n	viện_y_tế_quốc_gia nih viện_y_tế_quốc_gia_hoa_kỳ các_viện_y_tế_quốc_gia các_viện_y_tế_quốc_gia_hoa_kì các_viện_y_tế_quốc_gia_hoa_kỳ viện_y_tế_quốc_gia_hoa_kì
bn:00055504n	modus_operandi
bn:00075331n	hỗ_trợ
bn:00021207n	dân_chủ chế_độ_dân_chủ chính_phủ_dân_chủ hòa một_thế_tục trình_dân_chủ
bn:00050165n	mỹ_latinh châu_mỹ_la_tinh mỹ_la_tinh mỹ_latinh_và_caribe mỹ_latinh_và_quần_đảo_caribbean châu_mĩ_latin châu_mỹ-latinh châu_mỹ_la_tin châu_mỹ_latin châu_mỹ_latinh mỹ_châu_la_tinh mỹ_latin
bn:00007797n	
bn:00036346n	kinh_tế_thị_trường nền_kinh_tế_thị_trường kinh_tế_thị_trường_tự_do doanh_nghiệp_tư_nhân công_ty_thuộc_sở_hữu_tư_nhân công_ty_tư_nhân dựa_trên_thị_trường kinh_tế_dựa_trên_thị_trường kinh_tế_tiền_tệ laissez-faire_nền_kinh_tế miễn_phí_doanh_nghiệp nền_kinh_tế_thị_trường_tự_do nền_kinh_tế_tiền_tệ ty_tư_nhân tư_nhân
bn:00021558n	lo_lắng
bn:00079045n	thất_nghiệp sự_thất_nghiệp tỷ_lệ_thất_nghiệp thiếu_việc_làm tỉ_lệ_thất_nghiệp chương_trình_cứu_trợ_làm_việc chương_trình_tạo_việc_làm tạo_việc_làm
bn:00012786n	brasil ba_tây bra-xin brazil bra_xin braxin brazin cộng_hoà_liên_bang_brasil cộng_hoà_liên_bang_brazil cộng_hòa_liên_bang_brasil cộng_hòa_liên_bang_brazil liên_bang_brasil liên_bang_brazil liên_bang_cộng_hòa_của_brazil
bn:00066884n	miền vùng khu_vực khu_vực_hành_chính
bn:00034551n	
bn:00015387n	thăm_dò_ý_kiến cuộc_thăm_dò_ý_kiến_công_chúng các_cuộc_thăm_dò_dư_luận phiếu_lấy_ý_kiến phiếu_lấy_ý_kiến_công_cộng thăm_dò_ý_kiến_công_chúng vải_bạt đánh_giá_phê_duyệt
bn:00007047n	thái_độ tinh_thần_thái_độ
bn:00076918n	điều
bn:00058593n	tháng_mười tháng_10 thg10
bn:00019781n	
bn:00070104n	hạng_hai hạng_nhì
bn:00022028n	lý_thuyết_ổn_định làm_rõ lọc phạt_tiền xử_phạt ổn_định
bn:00072966n	nam_mỹ châu_nam_mỹ nam_mĩ nam_mỹ_châu south_america
bn:00075812n	bảng biểu bảng_kế bảng_mảng
bn:00032099n	ví_dụ dụ
bn:00061757n	peru pê-ru cộng_hòa_peru cộng_hoà_pêru cộng_hòa_pêru perú pêru
bn:00029670n	tăng_trưởng_kinh_tế lý_thuyết_tăng_trưởng tăng_trưởng_gdp
bn:00052148n	
bn:00027260n	
bn:00059790n	
bn:00004456n	trả_lời đơn
bn:00060767n	vùng khu_vực_địa_lý khu_vực khu_vực_địa_lí vùng_địa_lí vùng_địa_lý
bn:00026149n	nhà_dân_chủ đảng_viên_đảng_nhân_dân
bn:00007449n	bình bình_số trung_bình
bn:00017904n	biểu_đồ bảng_xếp_hạng đồ
bn:00021846n	
bn:00075069n	đau_khổ
bn:00066516n	suy_thoái_kinh_tế suy_thoái
bn:00001294n	tăng đạt_được
bn:00068809n	
bn:00078931n	liên_hiệp_quốc liên_hợp_quốc lhq un ban_kinh_tế_và_xã_hội_liên_hợp_quốc tổ_chức_liên_hiệp_quốc united_nations của_liên_hợp_quốc quốc u.n
bn:00029665n	ủy_ban_kinh_tế_mỹ_latinh
bn:00064767n	
bn:00046157n	nghèo sự_nghèo_nàn thu_nhập_thấp bần_hàn nghèo_khổ nghèo_nàn nghèo_đói đói_nghèo có_thu_nhập_thấp lời_khấn_khó_nghèo nghèo_khó nghèo_tương_đối nghèo_tự_nguyện nghèo_đô_thị paupers
bn:00036838n	hoạt_động
bn:00063592n	độ_phủ_sóng mức_phổ_biến độ_phổ_biến phổ_biến
bn:00064234n	tổng_thống tổng
bn:00070497n	cảm_giác
bn:00001557n	tiến_bộ sự_tiến_bộ
bn:00081136n	toàn_bộ
bn:00048242n	vấn_đề
bn:00066996n	họ_hàng người_thân thân_nhân
bn:00026695n	kinh_tế_phát_triển phát_triển phát_triển_kinh_tế
bn:00075761n	hệ_thống hệ_thống_các_quy_tắc
bn:00067239n	venezuela vê-nê-du-ê-la vê-nê-zu-ê-la cộng_hòa_bolivar_venezuela venezuela_bolívar vênêxuêla vênêxuêla_bôlivarian cộng_hòa_venezuela
bn:00050375n	khả_năng_lãnh_đạo
bn:00027765n	phân_biệt sự_hoàn_toàn
bn:00029708n	ecuador ê-cu-a-đo ê-qu-a-đo cộng_hòa_ecuador ec ecu ách_qua_đa_nhĩ êcuađo
bn:00028188n	cộng_hòa_dominica cộng_hoà_đô-mi-ni-ca-na đô-mi-ni-ca-na cộng_hoà_đô-mi-ni-ca cộng_hoà_dominica cộng_hoà_dominican cộng_hoà_dominicana cộng_hoà_đôminica cộng_hoà_đôminicana cộng_hòa_dominican cộng_hòa_dominicana cộng_hòa_đô-mi-ni-ca cộng_hòa_đôminicana dominican_republic đệ_tứ_cộng_hòa_dominica nước_cộng_hòa_dominican
bn:00057614n	nicaragua ni-ca-ra-goa cộng_hoà_nicaragua ni_ca_ra_goa nicaragoa cộng_hòa_của_nicaragua
bn:00043361n	y_tế chăm_sóc_sức_khoẻ chăm_sóc_sức_khỏe chăm_sóc_bệnh_nhân chăm_sóc_đại_học dịch_vụ_y_tế
bn:00050249n	pháp_luật
bn:00025417n	ngày
bn:00027206n	bữa_ăn_tối bữa_ăn_chính bữa_chiều bữa_trưa bữa_tối
bn:00050257n	công_ty_luật văn_phòng_luật_sư
bn:00044064n	tòa_thượng_thẩm tòa_án_cuối_cùng tòa_án_tối_cao tòa_án_tối_cao_bang
bn:00001736n	xã_hội_chức_năng xã_hội_nhân_dịp
bn:00021723n	thảo_luận_nhóm
bn:00061826n	kiến_nghị yêu_cầu
bn:00046920n	kiểm_tra
bn:00059879n	tái_phát_triển
bn:00021844n	quốc_hội_hoa_kỳ quốc_hội_mỹ nghị_viện_hoa_kỳ quốc_hội_hoa_kì hội hội_hoa_kỳ hội_mỹ hội_u_s đại_hội_hoa_kỳ
bn:00009086n	kêu_chiến_đấu
bn:00000127n	giờ tiếng_đồng_hồ tiếng_hồ tiếng giờ_đồng_hồ g h 60_phút hr
bn:00053318n	tháng_ba tháng_3 thg3 tháng_03
bn:00065798n	
bn:00075589n	
bn:00027207n	yến_tiệc
bn:00048506n	pháp_lý_nguyên_tắc tư_pháp_học_thuyết tư_pháp_nguyên_tắc
bn:00061047n	nhà_tài_trợ tài_trợ bảo_trợ bảo_trợ_chính_trị bảo_trợ_nghệ_thuật bổn_mạng trợ trợ_danh_hiệu
bn:00034520n	kết_quả kết_quả_cuối_cùng quả_là
bn:00048507n	kiện_tụng tranh_chấp_pháp_lý trường_hợp_pháp_luật trường_hợp_tòa_án tư_pháp_tiếp_tục
bn:00003365n	hoa_thịnh_đốn washington washington,_d.c. oa-sinh-tơn,_d.c. thủ_đô_washington đặc_khu_columbia thành_phố_hoa_thịnh_đốn washington_dc oa-sinh-tơn oasinhtơn quận_columbia oasinhtơn,_d.c oasinhtơn,_d.c. oasinhtơn,_dc quận_côlumbia thủ_đô_hoa_thịnh_đốn washington,_d._c. washington,_d.c washington,_dc washington_d.c washington_d.c. washington_đặc_khu_colombia đặc_khu_colombia đặc_khu_côlumbia mỹ_vốn vốn_đầu_tư_của_hoa_kỳ
bn:00044967n	khách_sạn lữ_quán chuỗi_khách_sạn khách_sạn_kinh_doanh khách_sạn_ngân_sách khách_sạn_sang_trọng kinh_doanh_khách_sạn ngành_công_nghiệp_khách_sạn
bn:00007013n	
bn:00001582n	kẻ_thù đi_ngược_lại
bn:00042090n	khách_mời khách
bn:00032021n	sự_kiện sự_việc
bn:00007146n	nothing vô số_không zêrô 0 hư_vô không_có không_có_gì vô_giá_trị chuyện hư_không không làm_không_công nada người_không_có_tài null zilch zippo
bn:00031707n	mã_đạo_đức đạo_đức đạo_đức_mã
bn:00020356n	bộ_quy_tắc_ứng_xử mã_của_hành_vi quy_tắc_ứng_xử
bn:00020352n	mã hệ_thống_hóa mã_của_pháp_luật mã_pháp_luật
bn:00015320n	canon
bn:00073170n	người_diển_thuyết nhà_hùng_biện giả người_hay_nói verbaliser verbalizer
bn:00042093n	khách_mời_danh_dự
bn:00064648n	
bn:00064763n	sự_ở_gần
bn:00012862n	
bn:00046486n	tánh_lanh_đạm
bn:00064233n	chủ_tịch chủ_tịch_hội_đồng_quản_trị tịch
bn:00036850n	chiến_dịch_gây_quỹ gây_quỹ vận_động_gây_quỹ
bn:00005027n	
bn:00046077n	vô_tư nonpartisanship
bn:00007026n	chú_ý lưu_ý
bn:00023858n	
bn:00014139n	kinh_doanh
bn:00021976n	
bn:00072716n	hội_đồng_cố_vấn_pháp_luật
bn:00001423n	tổ_chức cơ_quan_chủ_quản giáo_hội_thành_lập tôn_giáo_chính_thức tôn_giáo_nhà_nước tôn_giáo_được_thành_lập
bn:00078206n	phiên_tòa tòa_án_cấp_sơ_thẩm
bn:00046473n	dấu_hiệu
bn:00000990n	conversancy tính_thân_mật
bn:00031605n	tây_ban_nha y_pha_nho vương_quốc_tây_ban_nha españa i_pha_nho spain tây-ban-nha tổng_tuyển_cử_tây_ban_nha_2023 espana
bn:00071432n	
bn:00023012n	costa_rica cốt-xta_ri-ca crc cô-xta_ri-ca côxta_rica cốt-xta-ri-ca cộng_hòa_costa_rica
bn:00022263n	phân_chia_dòng
bn:00077463n	ngày_hôm_nay
bn:00015531n	san_josé,_costa_rica san_josé san_jose thủ_đô_của_costa_rica
bn:00031896n	châu_âu âu_châu âu europe âu_la_ba
bn:00034737n	đầu_tiên
bn:00066576n	
bn:00018661n	sự_quyết_định chọn lựa_chọn
bn:00060340n	panama pa-na-ma cộng_hòa_panama panamá
bn:00035713n	cầu_thủ_bóng_đá cầu_thủ_đá_banh người_chơi_banh
bn:00030861n	anh anh_cát_lợi nước_anh anh_quốc england anh_cách_lan xứ_anh
bn:00024417n	
bn:00021338n	cạnh_tranh thi_đấu cuộc_thi đối_thủ_cạnh_tranh
bn:00011444n	
bn:00032308n	
bn:00081625n	giải_vô_địch_bóng_đá_thế_giới world_cup cúp_bóng_đá_thế_giới cúp_thế_giới danh_sách_các_đài_truyền_hình_phát_sóng_giải_vô_địch_bóng_đá_thế_giới fifa_world_cup giải_vô_địch_bóng_đá_thế_giới_2038 giải_vô_địch_bóng_đá_thế_giới_2042
bn:00032306n	kinh_nghiệm trải_nghiệm
bn:00005516n	khu_vực trong vực
bn:00041239n	
bn:00018660n	chọn
bn:00040851n	thủ_môn thủ_thành thủ_môn_bóng_đá goalkeeper goaltender netminder thủ_môn_mục_tiêu
bn:00013179n	luân_đôn london london,_anh london,_england london,_uk luân-đôn anh_vốn greater_london vốn_đầu_tư_của_vương_quốc_anh
bn:00066577n	kỉ_lục
bn:00053772n	
bn:00074678n	
bn:00064204n	
bn:00040847n	mục_tiêu
bn:00046021n	nhập_cư sự_nhập_cư dân_nhập_cư có_dân_di_cư di_cư người_di_cư người_di_cư_kinh_tế
bn:00017621n	cơ_hội cơ_hội
bn:00021816n	quá_crowding
bn:00022026n	cảnh_sát lực_lượng_cảnh_sát công_an cớm sen_đầm lực_lượng_cảnh_sát chính_sách cảnh_sát_bảo_vệ cảnh_sát_vũ_trang lực_lượng_an_ninh sát sở_cảnh_sát
bn:00070651n	dịch_vụ
bn:00021322n	
bn:00021644n	
bn:00045163n	nhân_quyền quyền_con_người vi_phạm_nhân_quyền
bn:00042917n	quấy_rối lạm_dụng_tình_dục
bn:00029806n	sinh_viên học_sinh học_trò educatee
bn:00036202n	pháp nước_pháp pha-lang-sa cộng_hòa_pháp cộng_hoà_pháp lang_sa france pha_lang_sa phá_lăng_sa pháp_quốc phú_lang_sa phú_lãng_sa quốc_pháp
bn:00075959n	
bn:00013057n	thợ_nề thợ_hồ
bn:00070648n	bồi_bàn chạy_bàn hầu_bàn nhân_viên_bàn nhân_viên_chạy_bàn nhân_viên_phục_vụ_bàn tiểu_nhị nhân_viên_phục_vụ phục_vụ_bàn nv_bàn nv_phục_vụ nv_phục_vụ_bàn
bn:00063237n	quan_điểm góc_nhìn điểm_nhìn
bn:00021958n	sự_đồng_thuận sự_nhất_trí sự_đồng_lòng sự_đồng_tâm quá_trình_đồng_thuận
bn:00050522n	bên_trái_cánh chính_trị_cánh_trái chính_trị_cánh_tả cánh_trái cánh_tả thiên_tả trái trái_chính_trị
bn:00067810n	cánh_phải chính_trị_cánh_hữu cánh_hữu phải quyền_chính_trị
bn:00074900n	chủ_đề chủ_đề_bình_luận
bn:00079043n	thất_nghiệp người_thất_nghiệp
bn:00081593n	
bn:00055292n	khổ miserableness
bn:00027022n	sự_khác_nhau khác_biệt
